ITGB3	PTK2B
DAB2	ITGB3
ILK	ITGB3
LRP5	SMAD9
DOK1	ITGB3
DAB1	ITGB3
EP300	TFAP2A
ITGB3	NUMB
ITGB3	PDPK1
ITGA2B	ITGB3
ITGB3	ITGB3BP
ANGPTL3	ITGB3
ITGB3	TENC1
PDGFRA	PTPN11
PDGFB	PDGFRA
ITGAV	PDGFRA
CITED2	TFAP2A
PDGFRA	SHB
CAV1	PDGFRA
GRB14	PDGFRA
CRKL	PDGFRA
PDGFRA	SLC9A3R1
PDGFRA	SNX2
PDGFRA	SNX4
PDGFC	PDGFRA
PDGFRA	SNX6
CD36	THBS1
LDLRAP1	TFAP2A
CD36	SRC
CD36	MATK
CD36	ITGA2B
MLL2	SMAD1
MLL2	SMAD9
SF3B1	SMAD1
GP1BA	GP5
GP5	YWHAZ
CITED4	TFAP2A
GP1BA	GP9
GP1BA	SELP
CD24	SELP
SELP	SELPLG
AP1M1	SELP
SELP	SNX17
SELP	SERPING1
PVR	VTN
DYNLT3	PVR
AP1M2	PVR
EPN2	TFAP2A
PVR	PVRL1
PVR	PVRL3
CD226	PVR
SF3B1	SMAD9
PARP1	PCNA
PARP1	RXRA
PARP1	RPS3A
PARP1	TP53
APOA2	APOC1
PARP1	XRCC1
SF3B1	SNIP1
PARP1	POLA1
PARP1	PRKDC
MYBL2	PARP1
CPXM2	SMAD9
ODZ3	SMAD4
EXPH5	SMAD9
BUB3	PARP1
APOA2	APOD
PARP1	ZNF423
PARP1	WRN
NCOA6	PARP1
APTX	PARP1
CDKN2A	RPS7
PARP1	XRCC5
PARP1	PARP2
PARP1	SWAP70
PARP1	RBM14
PARP1	SFRS12
APOA2	APOF
RFX1	SMAD4
RFX1	SMAD1
RFX1	SMAD9
PIGR	RAB3B
CCL5	PIGR
AP1M1	PIGR
LEMD3	SMAD9
PKD1	PKD2
DIAPH1	PKD2
CD2AP	PKD2
APOA2	C4A
PKD2	TNNI3
PKD2	TRPC1
HAX1	PKD2
POLG	SSBP1
APC	CSNK1E
APC	PRKACA
APC	PPP2R5A
APC	KIFAP3
APC	SIAH1
APOA2	PLTP
APC	BUB1
APC	MAPRE1
APC	AXIN1
APC	RP1
APC	AXIN2
APC	ARHGEF4
APC	DLGAP1
KCNE1	PRKCA
KCNE1	KCNQ1
APOA1BP	APOA2
KCNA2	KCNA4
KCNA2	PTPRA
ETV1	KCNA2
KCNA2	KCNAB1
KCNA2	KCNAB2
KCNA2	PTK2B
SMAD1	ZSCAN4
KCNA2	KCNA5
KCNA2	KCNA3
SMAD9	ZSCAN4
FLNC	MAP2K4
APOA4	GPLD1
E4F1	SMAD9
DLG2	KCNA4
DLGAP1	KCNA4
KCNA4	SNTG1
RBP4	TTR
LRP2	TTR
APOA1	TTR
PAPPA	PRG2
PAPPA	TNNI3
ATN1	SIAH2
KIAA0226	SMAD9
SECISBP2	SMAD9
PFN2	SYN1
PFN2	ROCK1
PFN2	VASP
DNM1	PFN2
FHOD1	PFN2
EVL	PFN2
ARNT	SMAD9
APOB	CALR
ATF7IP	SMAD4
DNM2	PFN1
ATF7IP	RRBP1
PFN1	WASF1
PFN1	WASL
PFN1	RHOQ
FMNL1	PFN1
PFN1	XPO6
ENAH	PFN1
APBB1IP	PFN1
APOB	CANX
PFN1	WIPF2
ATF7IP	PSG3
ATF7IP	KRT7
CLU	PRNP
